Genome	SkewI	Kingdom	K_TID	Phylum	P_TID	Class	C_TID	Order	O_TID	Family	F_TId	Genus	G_TID	Species	S_TID
"NZ_CP025512.1 Neorhizobium sp. SOG26 chromosome, complete genome"	0.580978296	k__Bacteria	2	p__Proteobacteria	1224	c__Alphaproteobacteria	28211	o__Rhizobiales	356	f__Rhizobiaceae	82115	g__Neorhizobium	1525371	s__Neorhizobium_sp._SOG26	2060726
"NZ_CP022477.1 Bacillus licheniformis strain BL-010 chromosome, complete genome"	0.951554672	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Bacillales	1385	f__Bacillaceae	186817	g__Bacillus	1386	s__Bacillus_licheniformis	1402
"NZ_CP030126.1 Indioceanicola profundi strain SCSIO 08040 chromosome, complete genome"	0.581294129	k__Bacteria	2	p__Proteobacteria	1224	c__Alphaproteobacteria	28211	o__Rhodospirillales	204441	f__Rhodospirillaceae	41295	g__Indioceanicola	2478349	s__Indioceanicola_profundi	2220096
"NZ_CP021911.1 Bacillus sp. MD-5 chromosome, complete genome"	0.95159185	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Bacillales	1385	f__Bacillaceae	186817	g__Bacillus	1386	s__Bacillus_sp._MD-5	2009331
"NZ_CP033205.1 Bacillus subtilis strain MBI 600 chromosome, complete genome"	0.951741786	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Bacillales	1385	f__Bacillaceae	186817	g__Bacillus	1386	s__Bacillus_subtilis	1423
"NZ_CP006696.1 Xylella fastidiosa subsp. sandyi Ann-1, complete genome"	0.581690633	k__Bacteria	2	p__Proteobacteria	1224	c__Gammaproteobacteria	1236	o__Xanthomonadales	135614	f__Xanthomonadaceae	32033	g__Xylella	2370	s__Xylella_fastidiosa_subsp._sandyi	671135
"NZ_CP032228.1 Erythrobacter flavus strain 21-3 chromosome, complete genome"	0.582103176	k__Bacteria	2	p__Proteobacteria	1224	c__Alphaproteobacteria	28211	o__Sphingomonadales	204457	f__Erythrobacteraceae	335929	g__Erythrobacter	1041	s__Erythrobacter_flavus	192812
"NZ_CP037865.1 Pasteurella multocida subsp. multocida strain HN02 chromosome, complete genome"	0.582867468	k__Bacteria	2	p__Proteobacteria	1224	c__Gammaproteobacteria	1236	o__Pasteurellales	135625	f__Pasteurellaceae	712	g__Pasteurella	745	s__Pasteurella_multocida_subsp._multocida	44283
"NZ_AP014564.1 Ichthyobacterium seriolicida DNA, complete sequence"	0.582906172	k__Bacteria	2	p__Bacteroidetes	976	c__Flavobacteriia	117743	o__Flavobacteriales	200644	f__Ichthyobacteriaceae	1755828	g__Ichthyobacterium	1755829	s__Ichthyobacterium_seriolicida	242600
"NZ_CP018155.1 Tenacibaculum sp. LPB0136, complete genome"	0.582933367	k__Bacteria	2	p__Bacteroidetes	976	c__Flavobacteriia	117743	o__Flavobacteriales	200644	f__Flavobacteriaceae	49546	g__Tenacibaculum	104267	s__Tenacibaculum_todarodis	1850252
"NZ_CP037933.1 Flavobacterium sp. GS13 chromosome, complete genome"	0.583321695	k__Bacteria	2	p__Bacteroidetes	976	c__Flavobacteriia	117743	o__Flavobacteriales	200644	f__Flavobacteriaceae	49546	g__Flavobacterium	237	s__Flavobacterium_sp._GS13	2547394
"NZ_CP026362.1 Bacillus vallismortis strain DSM 11031 chromosome, complete genome"	0.951856143	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Bacillales	1385	f__Bacillaceae	186817	g__Bacillus	1386	s__Bacillus_vallismortis	72361
"NZ_CP026815.1 Shigella dysenteriae strain 93-119 chromosome, complete genome"	0.583363717	k__Bacteria	2	p__Proteobacteria	1224	c__Gammaproteobacteria	1236	o__Enterobacterales	91347	f__Enterobacteriaceae	543	g__Shigella	620	s__Shigella_dysenteriae	622
"NZ_CP041070.1 Arcobacter anaerophilus strain DSM 24636 chromosome, complete genome"	0.583376037	k__Bacteria	2	p__Proteobacteria	1224	c__Epsilonproteobacteria	29547	o__Campylobacterales	213849	f__Campylobacteraceae	72294	g__Arcobacter	28196	s__Arcobacter_anaerophilus	877500
"NZ_CP027792.1 Melaminivora sp. SC2-7 chromosome, complete genome"	0.583606552	k__Bacteria	2	p__Proteobacteria	1224	c__Betaproteobacteria	28216	o__Burkholderiales	80840	f__Comamonadaceae	80864	g__Melaminivora	1649468	s__Melaminivora_sp._SC2-7	2116657
"NZ_CP019303.1 Prevotella intermedia strain strain 17 chromosome II, complete sequence"	0.583815657	k__Bacteria	2	p__Bacteroidetes	976	c__Bacteroidia	200643	o__Bacteroidales	171549	f__Prevotellaceae	171552	g__Prevotella	838	s__Prevotella_intermedia	28131
"NZ_CP019704.1 Polaribacter sp. BM10 chromosome, complete genome"	0.583824437	k__Bacteria	2	p__Bacteroidetes	976	c__Flavobacteriia	117743	o__Flavobacteriales	200644	f__Flavobacteriaceae	49546	g__Polaribacter	52959	s__Polaribacter_sp._BM10	1529069
"NZ_CP009494.1 Mycobacterium smegmatis str. MC2 155, complete genome"	0.583835568	k__Bacteria	2	p__Actinobacteria	201174	c__Actinobacteria	1760	o__Corynebacteriales	85007	f__Mycobacteriaceae	1762	g__Mycolicibacterium	1866885	s__Mycolicibacterium_smegmatis	1772
"NC_017192.1 Arcobacter sp. L DNA, complete genome"	0.583907311	k__Bacteria	2	p__Proteobacteria	1224	c__Epsilonproteobacteria	29547	o__Campylobacterales	213849	f__Campylobacteraceae	72294	-	-	s__Arcobacter_sp._L	944547
"NZ_CP044359.1 Bacillus amyloliquefaciens strain V417 chromosome, complete genome"	0.951919615	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Bacillales	1385	f__Bacillaceae	186817	g__Bacillus	1386	s__Bacillus_amyloliquefaciens	1390
NC_021285.1 Achromobacter xylosoxidans NH44784-1996 complete genome	0.584096104	k__Bacteria	2	p__Proteobacteria	1224	c__Betaproteobacteria	28216	o__Burkholderiales	80840	f__Alcaligenaceae	506	g__Achromobacter	222	s__Achromobacter_xylosoxidans	85698
"NZ_CP042828.1 Ruania sp. HY168 chromosome, complete genome"	0.584136933	k__Bacteria	2	p__Actinobacteria	201174	c__Actinobacteria	1760	o__Micrococcales	85006	f__Ruaniaceae	1331736	g__Ruania	626119	s__Ruania_sp._HY168	2603206
"NZ_CP042252.1 Bacillus licheniformis strain KNU11 chromosome, complete genome"	0.951992675	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Bacillales	1385	f__Bacillaceae	186817	g__Bacillus	1386	s__Bacillus_licheniformis	1402
"NC_022898.1 Bacillus subtilis PY79, complete genome"	0.952036453	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Bacillales	1385	f__Bacillaceae	186817	g__Bacillus	1386	s__Bacillus_subtilis	1423
"NZ_CP041305.1 Bacillus ciccensis strain 5L6 chromosome, complete genome"	0.952417162	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Bacillales	1385	f__Bacillaceae	186817	g__Bacillus	1386	s__Bacillus_ciccensis	1670641
"NZ_CP022653.1 Bacillus atrophaeus strain GQJK17 chromosome, complete genome"	0.952421022	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Bacillales	1385	f__Bacillaceae	186817	g__Bacillus	1386	s__Bacillus_atrophaeus	1452
"NC_007146.2 Haemophilus influenzae 86-028NP, complete genome"	0.585012197	k__Bacteria	2	p__Proteobacteria	1224	c__Gammaproteobacteria	1236	o__Pasteurellales	135625	f__Pasteurellaceae	712	g__Haemophilus	724	s__Haemophilus_influenzae	727
"NC_019814.1 Candidatus Kinetoplastibacterium blastocrithidii (ex Angomonas deanei ATCC 30255), complete genome"	0.585339442	k__Bacteria	2	p__Proteobacteria	1224	c__Betaproteobacteria	28216	-	-	-	-	g__Candidatus_Kinetoplastibacterium	33055	s__Candidatus_Kinetoplastibacterium_blastocrithidii	233181
"NZ_CP039721.1 Bacillus thuringiensis strain BT-59 chromosome, complete genome"	0.952620752	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Bacillales	1385	f__Bacillaceae	186817	g__Bacillus	1386	s__Bacillus_thuringiensis	1428
"NZ_CP023257.1 Bacillus subtilis strain TLO3 chromosome, complete genome"	0.952629048	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Bacillales	1385	f__Bacillaceae	186817	g__Bacillus	1386	s__Bacillus_subtilis	1423
"NZ_CP045030.1 Bacillus thuringiensis strain JW-1 chromosome, complete genome"	0.952662145	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Bacillales	1385	f__Bacillaceae	186817	g__Bacillus	1386	s__Bacillus_thuringiensis	1428
"NC_009921.1 Frankia sp. EAN1pec, complete genome"	0.585612938	k__Bacteria	2	p__Actinobacteria	201174	c__Actinobacteria	1760	o__Frankiales	85013	f__Frankiaceae	74712	g__Frankia	1854	s__Frankia_sp._EAN1pec	298653
"NC_015681.1 Thermodesulfatator indicus DSM 15286, complete genome"	0.585645485	k__Bacteria	2	p__Thermodesulfobacteria	200940	c__Thermodesulfobacteria	67799	o__Thermodesulfobacteriales	188710	f__Thermodesulfobacteriaceae	188711	g__Thermodesulfatator	241192	s__Thermodesulfatator_indicus	171695
"NZ_CP024923.1 Sphingomonas sp. Cra20 chromosome, complete genome"	0.585706708	k__Bacteria	2	p__Proteobacteria	1224	c__Alphaproteobacteria	28211	o__Sphingomonadales	204457	f__Sphingomonadaceae	41297	g__Sphingomonas	13687	s__Sphingomonas_sp._Cra20	1327635
"NZ_CP034670.1 Eikenella corrodens strain KCOM 3110 chromosome, complete genome"	0.585728243	k__Bacteria	2	p__Proteobacteria	1224	c__Betaproteobacteria	28216	o__Neisseriales	206351	f__Neisseriaceae	481	g__Eikenella	538	s__Eikenella_corrodens	539
"NZ_CP015434.1 [Haemophilus] ducreyi strain GHA9, complete genome"	0.585749503	k__Bacteria	2	p__Proteobacteria	1224	c__Gammaproteobacteria	1236	o__Pasteurellales	135625	f__Pasteurellaceae	712	g__Haemophilus	724	s__[Haemophilus]_ducreyi	730
"NZ_CP026805.1 Shigella dysenteriae strain 2017C-4522 chromosome, complete genome"	0.585776691	k__Bacteria	2	p__Proteobacteria	1224	c__Gammaproteobacteria	1236	o__Enterobacterales	91347	f__Enterobacteriaceae	543	g__Shigella	620	s__Shigella_dysenteriae	622
"NZ_CP013275.1 Bacillus thuringiensis serovar israelensis strain AM65-52, complete genome"	0.952773872	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Bacillales	1385	f__Bacillaceae	186817	g__Bacillus	1386	s__Bacillus_thuringiensis	1428
"NZ_CP024443.1 Moraxella osloensis strain NP7 chromosome, complete genome"	0.585876526	k__Bacteria	2	p__Proteobacteria	1224	c__Gammaproteobacteria	1236	o__Pseudomonadales	72274	f__Moraxellaceae	468	g__Moraxella	475	s__Moraxella_osloensis	34062
"NZ_CP015226.1 Bacillus sp. IHB B 7164 chromosome, complete genome"	0.953018	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Bacillales	1385	f__Bacillaceae	186817	g__Bacillus	1386	s__Bacillus_sp._IHB_B_7164	1827146
"NZ_CP024104.1 Bacillus cytotoxicus strain CH_23 chromosome, complete genome"	0.953115532	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Bacillales	1385	f__Bacillaceae	186817	g__Bacillus	1386	s__Bacillus_cytotoxicus	580165
"NZ_CP034951.1 Aequorivita sp. H23M31 chromosome, complete genome"	0.586539887	k__Bacteria	2	p__Bacteroidetes	976	c__Flavobacteriia	117743	o__Flavobacteriales	200644	f__Flavobacteriaceae	49546	g__Aequorivita	153265	s__Aequorivita_sp._H23M31	2494375
"NC_012489.1 Gemmatimonas aurantiaca T-27 DNA, complete genome"	0.586590709	k__Bacteria	2	p__Gemmatimonadetes	142182	c__Gemmatimonadetes	219685	o__Gemmatimonadales	219686	f__Gemmatimonadaceae	219687	g__Gemmatimonas	173479	s__Gemmatimonas_aurantiaca	173480
"NC_008596.1 Mycobacterium smegmatis str. MC2 155 chromosome, complete genome"	0.586702544	k__Bacteria	2	p__Actinobacteria	201174	c__Actinobacteria	1760	o__Corynebacteriales	85007	f__Mycobacteriaceae	1762	g__Mycolicibacterium	1866885	s__Mycolicibacterium_smegmatis	1772
"NZ_CP043003.1 Aggregatibacter actinomycetemcomitans strain HK_907 chromosome, complete genome"	0.587160019	k__Bacteria	2	p__Proteobacteria	1224	c__Gammaproteobacteria	1236	o__Pasteurellales	135625	f__Pasteurellaceae	712	g__Aggregatibacter	416916	s__Aggregatibacter_actinomycetemcomitans	714
"NZ_CP012872.1 Salegentibacter sp. T436, complete genome"	0.587292459	k__Bacteria	2	p__Bacteroidetes	976	c__Flavobacteriia	117743	o__Flavobacteriales	200644	f__Flavobacteriaceae	49546	g__Salegentibacter	143222	s__Salegentibacter_sp._T436	1729720
"NZ_CP026825.1 Shigella dysenteriae strain ATCC 9751 chromosome, complete genome"	0.587297646	k__Bacteria	2	p__Proteobacteria	1224	c__Gammaproteobacteria	1236	o__Enterobacterales	91347	f__Enterobacteriaceae	543	g__Shigella	620	s__Shigella_dysenteriae	622
"NZ_CP024035.1 Bacillus aryabhattai strain K13 chromosome, complete genome"	0.953172426	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Bacillales	1385	f__Bacillaceae	186817	g__Bacillus	1386	s__Bacillus_aryabhattai	412384
"NZ_CP040510.1 Candidatus Rhodoluna limnophila strain 36A-HELLB chromosome, complete genome"	0.58733184	k__Bacteria	2	p__Actinobacteria	201174	c__Actinobacteria	1760	o__Micrococcales	85006	f__Microbacteriaceae	85023	g__Rhodoluna	529883	s__Candidatus_Rhodoluna_limnophila	232537
"NZ_CP031689.1 Haemophilus influenzae strain P621-7028 chromosome, complete genome"	0.587358735	k__Bacteria	2	p__Proteobacteria	1224	c__Gammaproteobacteria	1236	o__Pasteurellales	135625	f__Pasteurellaceae	712	g__Haemophilus	724	s__Haemophilus_influenzae	727
"NZ_CP029364.1 Bacillus halotolerans strain ZB201702 chromosome, complete genome"	0.953241805	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Bacillales	1385	f__Bacillaceae	186817	g__Bacillus	1386	s__Bacillus_halotolerans	260554
"NZ_CP022680.1 Streptococcus respiraculi strain HTS25 chromosome, complete genome"	0.587774007	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Lactobacillales	186826	f__Streptococcaceae	1300	g__Streptococcus	1301	s__Streptococcus_respiraculi	2021971
"NZ_CP024771.1 Bacillus thuringiensis LM1212 chromosome, complete genome"	0.953393432	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Bacillales	1385	f__Bacillaceae	186817	g__Bacillus	1386	s__Bacillus_thuringiensis	1428
"NZ_CP028375.1 Bacillus velezensis strain W1 chromosome, complete genome"	0.953407855	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Bacillales	1385	f__Bacillaceae	186817	g__Bacillus	1386	s__Bacillus_velezensis	492670
"NZ_CP018574.1 Bacillus cellulasensis strain GLB197, complete genome"	0.95344331	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Bacillales	1385	f__Bacillaceae	186817	g__Bacillus	1386	s__Bacillus_altitudinis	293387
"NZ_CP035166.1 Bacillus subtilis strain SRCM103971 chromosome, complete genome"	0.95345811	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Bacillales	1385	f__Bacillaceae	186817	g__Bacillus	1386	s__Bacillus_subtilis	1423
"NC_018508.1 Bacillus thuringiensis HD-789, complete genome"	0.953545935	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Bacillales	1385	f__Bacillaceae	186817	g__Bacillus	1386	s__Bacillus_thuringiensis	1428
"NZ_CP011974.1 Bacillus filamentosus strain Hbe603, complete genome"	0.953638769	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Bacillales	1385	f__Bacillaceae	186817	g__Bacillus	1386	s__Bacillus_filamentosus	1402861
"NZ_CP025226.1 Bacillus licheniformis strain PB3 chromosome, complete genome"	0.953752994	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Bacillales	1385	f__Bacillaceae	186817	g__Bacillus	1386	s__Bacillus_licheniformis	1402
"NZ_CP010852.1 Bacillus anthracis strain A1144, complete genome"	0.953799014	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Bacillales	1385	f__Bacillaceae	186817	g__Bacillus	1386	s__Bacillus_anthracis	1392
"NZ_CP009476.1 Bacillus anthracis strain Pasteur, complete genome"	0.953831113	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Bacillales	1385	f__Bacillaceae	186817	g__Bacillus	1386	s__Bacillus_anthracis	1392
"NZ_CP017072.1 Bacillus sp. FJAT-14266 chromosome, complete genome"	0.95392076	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Bacillales	1385	f__Bacillaceae	186817	g__Bacillus	1386	s__Bacillus_sp._FJAT-14266	1837130
"NZ_CP016894.1 Bacillus subtilis strain HJ0-6, complete genome"	0.953929232	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Bacillales	1385	f__Bacillaceae	186817	g__Bacillus	1386	s__Bacillus_subtilis	1423
"NZ_CP035410.1 Bacillus velezensis strain SRCM103616 chromosome, complete genome"	0.953929683	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Bacillales	1385	f__Bacillaceae	186817	g__Bacillus	1386	s__Bacillus_velezensis	492670
"NZ_CP009611.1 Bacillus subtilis strain Bs-916, complete genome"	0.954372457	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Bacillales	1385	f__Bacillaceae	186817	g__Bacillus	1386	s__Bacillus_subtilis	1423
"NZ_CP007618.1 Bacillus anthracis strain 2000031021, complete genome"	0.954748547	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Bacillales	1385	f__Bacillaceae	186817	g__Bacillus	1386	s__Bacillus_anthracis	1392
"NC_020832.1 Bacillus subtilis subsp. subtilis str. BAB-1, complete genome"	0.954762175	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Bacillales	1385	f__Bacillaceae	186817	g__Bacillus	1386	s__Bacillus_subtilis_subsp._subtilis	135461
"NZ_CP035188.1 Bacillus licheniformis strain SRCM103914 chromosome, complete genome"	0.954823383	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Bacillales	1385	f__Bacillaceae	186817	g__Bacillus	1386	s__Bacillus_licheniformis	1402
"NZ_CP032527.2 Bacillus megaterium NCT-2 chromosome, complete genome"	0.955018623	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Bacillales	1385	f__Bacillaceae	186817	g__Bacillus	1386	s__Bacillus_megaterium	1404
NC_016784.1 Bacillus amyloliquefaciens subsp. plantarum CAU B946 complete genome	0.955256911	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Bacillales	1385	f__Bacillaceae	186817	g__Bacillus	1386	s__Bacillus_velezensis	492670
"NZ_CP024797.1 Bacillus velezensis strain TJ02 chromosome, complete genome"	0.955299846	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Bacillales	1385	f__Bacillaceae	186817	g__Bacillus	1386	s__Bacillus_velezensis	492670
"NC_020244.1 Bacillus subtilis XF-1, complete genome"	0.955385939	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Bacillales	1385	f__Bacillaceae	186817	g__Bacillus	1386	s__Bacillus_subtilis	1423
"NZ_CP021976.1 Bacillus velezensis strain T20E-257 chromosome, complete genome"	0.955540891	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Bacillales	1385	f__Bacillaceae	186817	g__Bacillus	1386	s__Bacillus_velezensis	492670
"NZ_CP017688.1 Flavobacterium crassostreae strain LPB0076 chromosome, complete genome"	0.587979778	k__Bacteria	2	p__Bacteroidetes	976	c__Flavobacteriia	117743	o__Flavobacteriales	200644	f__Flavobacteriaceae	49546	g__Flavobacterium	237	s__Flavobacterium_crassostreae	1763534
"NZ_CP028440.1 Bacillus velezensis strain J7-1 chromosome, complete genome"	0.955543591	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Bacillales	1385	f__Bacillaceae	186817	g__Bacillus	1386	s__Bacillus_velezensis	492670
"NZ_CP012150.1 Mycobacterium goodii strain X7B, complete genome"	0.58824084	k__Bacteria	2	p__Actinobacteria	201174	c__Actinobacteria	1760	o__Corynebacteriales	85007	f__Mycobacteriaceae	1762	g__Mycolicibacterium	1866885	s__Mycolicibacterium_goodii	134601
"NZ_CP028439.1 Bacillus velezensis strain 8-2 chromosome, complete genome"	0.955543837	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Bacillales	1385	f__Bacillaceae	186817	g__Bacillus	1386	s__Bacillus_velezensis	492670
"NC_009937.1 Azorhizobium caulinodans ORS 571 DNA, complete genome"	0.588479362	k__Bacteria	2	p__Proteobacteria	1224	c__Alphaproteobacteria	28211	o__Rhizobiales	356	f__Xanthobacteraceae	335928	g__Azorhizobium	6	s__Azorhizobium_caulinodans	7
"NC_002940.2 [Haemophilus] ducreyi 35000HP, complete sequence"	0.588597108	k__Bacteria	2	p__Proteobacteria	1224	c__Gammaproteobacteria	1236	o__Pasteurellales	135625	f__Pasteurellaceae	712	g__Haemophilus	724	s__[Haemophilus]_ducreyi	730
"NZ_CP028441.1 Bacillus velezensis strain 131-4 chromosome, complete genome"	0.955554146	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Bacillales	1385	f__Bacillaceae	186817	g__Bacillus	1386	s__Bacillus_velezensis	492670
"NZ_CP035399.1 Bacillus velezensis strain SRCM103788 chromosome, complete genome"	0.955576088	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Bacillales	1385	f__Bacillaceae	186817	g__Bacillus	1386	s__Bacillus_velezensis	492670
"NZ_CP031685.1 Haemophilus influenzae strain P650-8603 chromosome, complete genome"	0.588969903	k__Bacteria	2	p__Proteobacteria	1224	c__Gammaproteobacteria	1236	o__Pasteurellales	135625	f__Pasteurellaceae	712	g__Haemophilus	724	s__Haemophilus_influenzae	727
"NZ_CP020012.1 Haemophilus influenzae strain 6P24H2 chromosome, complete genome"	0.588990712	k__Bacteria	2	p__Proteobacteria	1224	c__Gammaproteobacteria	1236	o__Pasteurellales	135625	f__Pasteurellaceae	712	g__Haemophilus	724	s__Haemophilus_influenzae	727
"NZ_CP020013.1 Haemophilus influenzae strain 6P32H1 chromosome, complete genome"	0.588998456	k__Bacteria	2	p__Proteobacteria	1224	c__Gammaproteobacteria	1236	o__Pasteurellales	135625	f__Pasteurellaceae	712	g__Haemophilus	724	s__Haemophilus_influenzae	727
"NZ_CP015400.2 Hungateiclostridiaceae bacterium KB18 chromosome, complete genome"	0.58903284	k__Bacteria	2	p__Firmicutes	1239	c__Clostridia	186801	o__Clostridiales	186802	f__Hungateiclostridiaceae	2304686	-	-	s__Hungateiclostridiaceae_bacterium_KB18	1834198
"NZ_CP032853.1 Bacillus subtilis subsp. subtilis strain MH-1 chromosome, complete genome"	0.955874903	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Bacillales	1385	f__Bacillaceae	186817	g__Bacillus	1386	s__Bacillus_subtilis_subsp._subtilis	135461
"NZ_CP042331.1 Bosea sp. F3-2 chromosome, complete genome"	0.589400541	k__Bacteria	2	p__Proteobacteria	1224	c__Alphaproteobacteria	28211	o__Rhizobiales	356	f__Bradyrhizobiaceae	41294	g__Bosea	85413	s__Bosea_sp._F3-2	2599640
"NZ_AP018402.1 Bacillus velezensis S141 DNA, complete genome"	0.956075381	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Bacillales	1385	f__Bacillaceae	186817	g__Bacillus	1386	s__Bacillus_velezensis	492670
"NZ_CP030053.1 Bradyrhizobium sp. CCBAU 51670 chromosome, complete genome"	0.58947719	k__Bacteria	2	p__Proteobacteria	1224	c__Alphaproteobacteria	28211	o__Rhizobiales	356	f__Bradyrhizobiaceae	41294	g__Bradyrhizobium	374	s__Bradyrhizobium_guangzhouense	1325095
"NZ_CP032101.1 Arcobacter marinus strain JCM 15502 chromosome, complete genome"	0.589627088	k__Bacteria	2	p__Proteobacteria	1224	c__Epsilonproteobacteria	29547	o__Campylobacterales	213849	f__Campylobacteraceae	72294	g__Arcobacter	28196	s__Arcobacter_marinus	505249
"NC_012730.1 Rickettsia peacockii str. Rustic, complete genome"	0.589836802	k__Bacteria	2	p__Proteobacteria	1224	c__Alphaproteobacteria	28211	o__Rickettsiales	766	f__Rickettsiaceae	775	g__Rickettsia	780	s__Rickettsia_peacockii	47589
"NZ_CP017070.1 Bacillus gibsonii strain FJAT-10019 chromosome, complete genome"	0.956075641	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Bacillales	1385	f__Bacillaceae	186817	g__Bacillus	1386	s__Bacillus_gibsonii	79881
"NZ_CP029465.1 Bacillus subtilis subsp. inaquosorum strain KCTC 13429 chromosome, complete genome"	0.956212369	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Bacillales	1385	f__Bacillaceae	186817	g__Bacillus	1386	s__Bacillus_subtilis_subsp._inaquosorum	483913
"NZ_CP001970.2 Bacillus anthracis str. A16, complete genome"	0.956234669	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Bacillales	1385	f__Bacillaceae	186817	g__Bacillus	1386	s__Bacillus_anthracis	1392
"NZ_CP001974.2 Bacillus anthracis str. A16R chromosome, complete genome"	0.95623723	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Bacillales	1385	f__Bacillaceae	186817	g__Bacillus	1386	s__Bacillus_anthracis	1392
"NZ_CP042436.1 Mucilaginibacter ginsenosidivorans strain Gsoil 3017 chromosome, complete genome"	0.5903416	k__Bacteria	2	p__Bacteroidetes	976	c__Sphingobacteriia	117747	o__Sphingobacteriales	200666	f__Sphingobacteriaceae	84566	g__Mucilaginibacter	423349	s__Mucilaginibacter_ginsenosidivorans	398053
"NZ_CP011479.1 Hoeflea sp. IMCC20628, complete genome"	0.590625737	k__Bacteria	2	p__Proteobacteria	1224	c__Alphaproteobacteria	28211	o__Rhizobiales	356	f__Phyllobacteriaceae	69277	g__Hoeflea	274591	s__Hoeflea_sp._IMCC20628	1620421
"NZ_CP009598.1 Bacillus anthracis str. V770-NP-1R, complete genome"	0.956263016	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Bacillales	1385	f__Bacillaceae	186817	g__Bacillus	1386	s__Bacillus_anthracis	1392
"NZ_CP019588.1 Bacillus anthracis strain SPV842_15 chromosome, complete genome"	0.956266674	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Bacillales	1385	f__Bacillaceae	186817	g__Bacillus	1386	s__Bacillus_anthracis	1392
"NC_005945.1 Bacillus anthracis str. Sterne chromosome, complete genome"	0.956267405	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Bacillales	1385	f__Bacillaceae	186817	g__Bacillus	1386	s__Bacillus_anthracis	1392
"NC_018010.1 Belliella baltica DSM 15883, complete genome"	0.590955286	k__Bacteria	2	p__Bacteroidetes	976	c__Cytophagia	768503	o__Cytophagales	768507	f__Cyclobacteriaceae	563798	g__Belliella	232244	s__Belliella_baltica	232259
"NZ_CP012730.1 Bacillus anthracis strain Parent1, complete genome"	0.956267954	k__Bacteria	2	p__Firmicutes	1239	c__Bacilli	91061	o__Bacillales	1385	f__Bacillaceae	186817	g__Bacillus	1386	s__Bacillus_anthracis	1392
